seed,novel_training_fraction,novel_training_n,auroc,brier,ece,calibration_slope,sharpness,high_confidence_error,mean_prediction
5,0.01,80,0.7696701115034459,0.22266832286479216,0.2344140742609719,0.674630673265204,0.756090483679538,0.16627265563435775,0.5259192590723614
5,0.02,160,0.7860553925851763,0.2072468091115562,0.2209926618202852,0.78075413443801,0.7495577188416607,0.1125886524822695,0.5393406715130481
5,0.05,400,0.7960771817011669,0.19764094894088263,0.20212061590641772,0.7564761120477562,0.7650795918271596,0.11168258633357825,0.5582127174269156
5,0.1,800,0.8121416624848554,0.17934410412467702,0.18049943078266206,0.8620457777574732,0.759530525841213,0.07447633824670287,0.5798339025506714
5,0.2,1600,0.8312979142569171,0.1611630634654281,0.15050900495429462,0.9429058404970241,0.767996384574782,0.04169562195969423,0.6098243283790388
6,0.0,0,0.7676232709181571,0.2173801248224867,0.21965089827262785,0.6372449709954595,0.7608051631894093,0.17084639498432602,0.5378491017273721
6,0.01,80,0.7658382195607878,0.2176637937142353,0.2212666228049074,0.6593583138375596,0.754783941788643,0.16092874299439552,0.5362333771950927
6,0.02,160,0.7703269708414141,0.2098212664464448,0.2114669783183626,0.68803537035103,0.7530101743849339,0.13857998289136014,0.5460330216816374
6,0.05,400,0.7758801447155026,0.20861050422864083,0.21151942130935705,0.71107039097454,0.7539357657883665,0.13083333333333333,0.545980578690643
6,0.1,800,0.7944381310983332,0.18715198524634474,0.17930066272732936,0.7893622998021613,0.75794959856641,0.08152173913043478,0.5781993372726706
6,0.2,1600,0.8288774719396338,0.16213324001621005,0.1517786184097262,0.9550433403814829,0.7621284582857178,0.04624715693707354,0.6057213815902738
7,0.0,0,0.7771793413756387,0.20994645564383008,0.21597664789039298,0.6963137436968574,0.7580734583337738,0.1313456889605157,0.5448566854429404
7,0.01,80,0.7704228125679786,0.21515363218305938,0.22079086530634656,0.6680354400942342,0.7586542699471827,0.14971977582065651,0.5400424680269867
7,0.02,160,0.7747222275226977,0.21139164515513312,0.21853752320312048,0.7167860308720045,0.7539632430167665,0.1246660730186999,0.542295810130213
7,0.05,400,0.791164098904328,0.1959591241243923,0.20189039200415093,0.7920610231609203,0.7524328126326206,0.09252669039145907,0.5589429413291824
7,0.1,800,0.8021365410962826,0.18911257253525332,0.19115187794114424,0.8130088120403651,0.7590040364311359,0.07909162098668755,0.5696814553921891
7,0.2,1600,0.8313698760833641,0.15972743447566384,0.1458270195023195,0.8954372568224014,0.7741767806692376,0.05098789037603569,0.6150063138310139
8,0.0,0,0.7660561870378837,0.21745044658215146,0.22987959904028152,0.6499699839556563,0.7568252201167699,0.1857379767827529,0.5417870676263852
8,0.01,80,0.7856507070675222,0.20286351114134504,0.21631716201086867,0.7371943945807857,0.7565332117763067,0.13685978169605373,0.555349504655798
8,0.02,160,0.7833896675127303,0.20504962183532457,0.22159652405809704,0.7518650377714986,0.7517779474792633,0.13404825737265416,0.5500701426085696
8,0.05,400,0.7876656524412353,0.2015868415743564,0.21454810902866675,0.7597362288140264,0.756468428545707,0.11148648648648649,0.5571185576379999
8,0.1,800,0.8035350223077045,0.1858075414506076,0.1946474667873945,0.7954045813947584,0.7608627210392324,0.1066350710900474,0.5770191998792721
8,0.2,1600,0.8407105358578613,0.15579985649080463,0.1529396325840063,0.9391148844247073,0.7746396005953456,0.04851752021563342,0.6187270340826604
9,0.0,0,0.7603050042019922,0.21864994513928657,0.23028444723660438,0.6574145585086324,0.7499472650663662,0.1686526122823098,0.5373822194300624
9,0.01,80,0.7621482427947827,0.21808012393761234,0.2225439828362267,0.6346804686105724,0.7616708846496549,0.15471698113207547,0.5451226838304399
9,0.02,160,0.7596676968659806,0.2163813270300728,0.22512983858441477,0.6332587860483002,0.7515011610460494,0.1794425087108014,0.5428540531258224
9,0.05,400,0.7833595815077459,0.19553019499189705,0.20286652203414135,0.7586411530948707,0.7485292571537996,0.12298959318826869,0.5648001446325254
9,0.1,800,0.8021501802589225,0.18432993495529854,0.1829967619535875,0.7637409860963463,0.7677536822221351,0.09428571428571429,0.5846699047130791
9,0.2,1600,0.8241176595183999,0.16090729856814437,0.1498221788027231,0.8785340697495874,0.769246392480194,0.06981519507186858,0.6178444878639436
10,0.0,0,0.7701843581231144,0.21255264785028377,0.22316867856852973,0.6880571328711471,0.751869702206746,0.1486254295532646,0.5444979880981369
10,0.01,80,0.7765856991473289,0.21571592347798507,0.2276381484445186,0.6517552549269487,0.7618639747979884,0.1706056129985229,0.540028518222148
