scenario,seed,outcome_prevalence,bayes_brier,model_brier,ece,auroc,novelty_auroc
concept_shift_only_no_feature_shift,14,0.4781666666666667,0.11928184064482328,0.21890995327838797,0.1310106674118256,0.7623892624592291,0.5017400555555556
prevalence_matched_novel,14,0.35233333333333333,0.10930514669901985,0.22537727516587522,0.18978263483878943,0.7687503256237002,0.5735736388888888
main,15,0.763,0.09254865186619621,0.22440509666367658,0.23566506667138074,0.7604770937136516,0.5666670833333334
concept_shift_only_no_feature_shift,15,0.4703333333333333,0.12181273900621735,0.22384555821871724,0.14053647307984815,0.7554496295625623,0.5001765833333333
prevalence_matched_novel,15,0.353,0.11262267313985679,0.23107719273110608,0.1739351955879361,0.7454348512468141,0.5642442777777777
main,16,0.7643333333333333,0.0926480339735737,0.21873864753477737,0.23432275743164402,0.7687423935216399,0.5791668333333333
concept_shift_only_no_feature_shift,16,0.4735,0.11980431629914855,0.22245974870973578,0.13429374325322735,0.754375596606423,0.509112
prevalence_matched_novel,16,0.34833333333333333,0.11044220394733557,0.22125314122342118,0.17899563297315144,0.7656294129884115,0.5790470277777777
main,17,0.7681666666666667,0.09169466550260294,0.221015335368257,0.23508342324077242,0.7663507727746124,0.5641494166666667
concept_shift_only_no_feature_shift,17,0.474,0.11950391362357674,0.22309291068196016,0.13847061930681728,0.7549423641526687,0.49677341666666663
prevalence_matched_novel,17,0.35733333333333334,0.11204721532625112,0.23638282734188928,0.18447606523905496,0.7426854882098842,0.5680195277777778
main,18,0.7633333333333333,0.09334006554069087,0.23426832786449608,0.2391234549946516,0.7475095331816225,0.5713777222222222
concept_shift_only_no_feature_shift,18,0.4851666666666667,0.11832834009137248,0.22907070044789982,0.1447278446688938,0.7478104896542835,0.49296549999999995
prevalence_matched_novel,18,0.3471666666666667,0.11181478800226956,0.23180328200348416,0.18407373629988122,0.7482937785746511,0.5722290555555555
main,19,0.7588333333333334,0.09292838671136248,0.20382431315745195,0.21275757489667768,0.7914134547708164,0.5698760277777778
concept_shift_only_no_feature_shift,19,0.47683333333333333,0.12073336051674621,0.21502962446552093,0.13559808719319888,0.7712905672277119,0.49842016666666666
prevalence_matched_novel,19,0.35483333333333333,0.11154154534076849,0.22343453266997498,0.18880974593408667,0.7751932660620658,0.5688183611111112
