auroc,brier,ece,calibration_slope,sharpness,high_confidence_error,mean_prediction,model,training_n,regime,seed
0.793380512233293,0.17945929870996555,0.08622880298457669,1.8157229708955416,0.6724668301618858,0.038461538461538464,0.3723291737890383,Neural network,1000,reference,0
0.7116517252398281,0.2483226541511962,0.2832752985922646,1.1206655212126213,0.6449472269754896,0.4,0.47239136807440213,Neural network,1000,novel,0
0.8369159802853924,0.1540158567473525,0.017184294606629586,0.9105902560548739,0.7889177743706427,0.06215621562156216,0.34034043881279946,Logistic regression,2000,reference,0
0.7820681514414962,0.20912184390994518,0.20931854758047264,0.6634264659439865,0.7689589492748458,0.1429539295392954,0.5463481190861941,Logistic regression,2000,novel,0
0.8201879605224012,0.16189890269233248,0.02221129512486711,1.115863628433937,0.749370183838829,0.05536626916524702,0.3365432942940416,Random forest,2000,reference,0
0.7781607331238706,0.219385586983043,0.2520703311914694,0.9259915655197983,0.7105754213814148,0.13458262350936967,0.5035963354751972,Random forest,2000,novel,0
0.8177481318247912,0.16407540741807586,0.03736858426130306,0.7390571947898863,0.7979781101234064,0.07893438579181056,0.34050827939280204,Gradient boosting,2000,reference,0
0.7601867893996008,0.22469142047805984,0.21926367072005007,0.5388010835760129,0.7787548839092142,0.1827893175074184,0.538552915746843,Gradient boosting,2000,novel,0
0.8176650488704933,0.16349027275727573,0.038554832518587726,1.2714003066639388,0.7300257163611392,0.03747870528109029,0.35730406971720147,Neural network,2000,reference,0
0.7425827956846889,0.22860651448787242,0.24771401155955564,0.8447128884120719,0.7049973224958879,0.1368421052631579,0.5079526551071111,Neural network,2000,novel,0
0.8385488046989764,0.15306764015255941,0.013281884371773205,0.9313111889382045,0.7836855471154561,0.06191588785046729,0.3535263501857328,Logistic regression,4000,reference,0
0.7886777544350371,0.20021548117641205,0.19698821937787625,0.6958787093356069,0.7682317171143104,0.1306122448979592,0.5586784472887905,Logistic regression,4000,novel,0
0.8213919302748298,0.16042195328392647,0.017525484336660787,1.0602504041134577,0.7524042616768502,0.05774058577405858,0.3518889059481954,Random forest,4000,reference,0
0.7912505543984483,0.20421977197349467,0.22795043323866307,0.9159896376485177,0.7226826786055147,0.11931818181818182,0.5277162334280036,Random forest,4000,novel,0
0.8249882003877773,0.15913227971119356,0.023713407685669537,0.839652399964763,0.7858045137909927,0.06958473625140292,0.353161350824634,Gradient boosting,4000,reference,0
0.780292872828067,0.20606039393197845,0.20435370825482374,0.6503431241514356,0.7662694470045829,0.146011396011396,0.551312958411843,Gradient boosting,4000,novel,0
0.8355901962602651,0.1543775757022396,0.017053449139286796,0.8853895825166955,0.7901259932914354,0.06324972737186478,0.3552920806595398,Neural network,4000,reference,0
0.7803240154274721,0.20355356592554608,0.19582224172205193,0.6576379940404924,0.7724314457865327,0.14442162902121836,0.5598444249446147,Neural network,4000,novel,0
0.8387484481509218,0.15290311937775608,0.010951531572938555,0.9603914371729836,0.7791335221087581,0.05813953488372093,0.35573426721241336,Logistic regression,8000,reference,0
0.7982383820050538,0.19289070759948787,0.19163046568534164,0.7533999677261658,0.7643157713194554,0.10685920577617329,0.5640362009813251,Logistic regression,8000,novel,0
0.824730643229454,0.1591263457034834,0.019741420343429572,1.0578796105372554,0.7546208929083089,0.05314009661835749,0.354758001544609,Random forest,8000,reference,0
0.7931964402955749,0.20030309517228212,0.22122914065458138,0.9255768813653117,0.7234288495853677,0.1059322033898305,0.5344375260120853,Random forest,8000,novel,0
0.829867491240552,0.15686861809626715,0.01212387436132288,0.9292485696485184,0.7768816255956145,0.05798004987531172,0.354102885551542,Gradient boosting,8000,reference,0
0.7918687425190059,0.19844088439473012,0.20259944098044078,0.7578351749842804,0.7560622139121796,0.11715481171548117,0.5530672256862259,Gradient boosting,8000,novel,0
0.8327108831705823,0.15543438346829486,0.010058403941947146,0.9439983109631876,0.7801787068728661,0.05987261146496815,0.3573830234376329,Neural network,8000,reference,0
0.7814591406086859,0.20190169510933226,0.2004243890077979,0.7361845087934614,0.7592063957104157,0.12446351931330472,0.5552422776588687,Neural network,8000,novel,0
0.8199487884426215,0.16584598730969524,0.05941449643972768,0.9258494851600672,0.792654234528008,0.08210526315789474,0.29591883689360565,Logistic regression,250,reference,1
0.8006810125723535,0.23066175729602917,0.2693065688346845,0.8043573993846584,0.7548331823652171,0.18434343434343434,0.48869343116531544,Logistic regression,250,novel,1
0.7797544095876883,0.18264094361846142,0.06034628276723063,1.13953916538029,0.7409650302279885,0.08181818181818182,0.29498705056610275,Random forest,250,reference,1
0.7910859312724269,0.26236618411251533,0.3363240940951177,1.2612137467896893,0.6724608752353668,0.18587360594795538,0.42167590590488224,Random forest,250,novel,1
0.7654461682036278,0.20211947511500125,0.13003846114649587,0.41020252702063686,0.8503742181872276,0.17070805043646944,0.27180669917297134,Gradient boosting,250,reference,1
0.7739870218132392,0.26875632985995024,0.2981956821543144,0.466480076075547,0.799923616241325,0.31636183885318836,0.4631182509807727,Gradient boosting,250,novel,1
0.5868430728098546,0.23725319368172929,0.11875813502008412,1.555336200231816,0.5479405568352697,,0.4701255176292114,Neural network,250,reference,1
0.5196633824452246,0.2648591930315022,0.2827869676738509,0.3777564282357173,0.5508146615035437,,0.4752130323261491,Neural network,250,novel,1
0.8265435254583235,0.15961034249604722,0.027199344968370766,1.0152382359092347,0.7740691039362482,0.058437294812869335,0.32813398836496255,Logistic regression,500,reference,1
0.7983303592412492,0.2120965569443274,0.2384223494160649,0.8377495366017284,0.7460297149067333,0.12906309751434034,0.5195776505839352,Logistic regression,500,novel,1
0.7897407360339612,0.17581207030654564,0.03127632889048735,1.1431802316180015,0.7256661289049648,0.07582417582417582,0.3300081851547297,Random forest,500,reference,1
0.7754811850818087,0.2387493021775653,0.2976086477101585,1.1809719055810746,0.6661849644319762,0.1592920353982301,0.4603913522898415,Random forest,500,novel,1
0.7830725139742845,0.18427001717951036,0.07833116132218905,0.5657604287419071,0.8139978279888557,0.1281725888324873,0.31794295785937726,Gradient boosting,500,reference,1
0.7544191919191919,0.24926674497950538,0.26231428494366177,0.5340237653346263,0.773660179137859,0.23042647994907703,0.4956857150563382,Gradient boosting,500,novel,1
0.6854460566421748,0.21636591499552563,0.09203569622269371,2.715417734287882,0.5954643037773063,,0.4099372608866904,Neural network,500,reference,1
0.605236976384134,0.28536510501670115,0.3270964954584389,1.3425617920511834,0.5830790626043824,,0.43090350454156107,Neural network,500,novel,1
0.8306680251294598,0.15677498464994852,0.012910907290714925,0.9751582420281429,0.7766343754935777,0.05808080808080808,0.3439548014267266,Logistic regression,1000,reference,1
0.78836972507517,0.2086778880757697,0.22052837443292525,0.7426661679990116,0.7565219679077632,0.13539192399049882,0.5374716255670747,Logistic regression,1000,novel,1
0.804658806273052,0.16890420173157888,0.023510216164060405,1.142308558334229,0.7311907025587,0.06096256684491978,0.3472524695639257,Random forest,1000,reference,1
0.776924770613305,0.22136871483574683,0.2636234439241279,1.0310532982547573,0.6843304802417403,0.19536423841059603,0.49437655607587216,Random forest,1000,novel,1
0.8002801405092248,0.1729041340305144,0.05051524929705407,0.6729244401849063,0.7952699592349348,0.10204081632653061,0.3447667073302825,Gradient boosting,1000,reference,1
0.7567905912083173,0.22919551533676716,0.2299483213458408,0.5240718398860718,0.7712196434301344,0.22237017310252996,0.5280516786541591,Gradient boosting,1000,novel,1
0.8132428537613671,0.17094269910969623,0.07519009794390033,1.7340213652604024,0.684143235389433,0.04,0.37875536958586287,Neural network,1000,reference,1
0.7435926790088461,0.23213840275131398,0.26700997955632577,1.1658540209376909,0.6614877342379907,0.06060606060606061,0.4909900204436741,Neural network,1000,novel,1
0.830952870621698,0.1565149817464314,0.009840525003249946,0.9871889752037798,0.7723652101306919,0.057539682539682536,0.3521135112329689,Logistic regression,2000,reference,1
0.8015836888917963,0.19698206838574525,0.20795353394841462,0.8073392812269015,0.7553969862031227,0.10781893004115227,0.5500464660515854,Logistic regression,2000,novel,1
0.8074281980788147,0.16697616957474404,0.0200308173892528,1.1145879932399572,0.7361637718046057,0.06224489795918367,0.35307766456317735,Random forest,2000,reference,1
0.7918073454622988,0.20887396672638517,0.24524229077930662,1.0275520378241418,0.6987027062618932,0.14987080103359174,0.5127577092206934,Random forest,2000,novel,1
0.8106948871871186,0.16581612334274243,0.03321877986888058,0.8202330564794075,0.781319896992299,0.08007224563515954,0.35257174505469935,Gradient boosting,2000,reference,1
0.7694722773428698,0.21872540693922307,0.21951872018239738,0.600596151833591,0.7674790338734346,0.17496635262449528,0.5384812798176027,Gradient boosting,2000,novel,1
0.8203946704668701,0.1639891718511159,0.053973148826374974,1.438674027157755,0.7117382452275648,0.036827195467422094,0.3726180674913024,Neural network,2000,reference,1
0.7704635404173663,0.21551614016573134,0.2438705704896438,1.0848762981157367,0.6906276066810174,0.06666666666666667,0.5141294295103562,Neural network,2000,novel,1
0.8317277376695491,0.15617951417918455,0.013470782021622534,0.9593917332969422,0.7769727455193224,0.060907395898073334,0.35111282306684144,Logistic regression,4000,reference,1
0.7937886601684876,0.20242394797645416,0.21079675475119697,0.7491310518715557,0.7601556050713522,0.12490421455938697,0.547203245248803,Logistic regression,4000,novel,1
0.8093430534078627,0.1659535353193124,0.018660602877645857,1.0508852133019244,0.7468082631278299,0.0640074211502783,0.3500779051162326,Random forest,4000,reference,1
0.792524519602356,0.20993225056134837,0.24288451611980882,0.9661854147445502,0.7136263447522491,0.1308411214953271,0.5151154838801912,Random forest,4000,novel,1
0.8187655094672018,0.1626610356301362,0.023708211873320215,0.8854704750369975,0.7792082118733202,0.06117353308364544,0.3493866198822231,Gradient boosting,4000,reference,1
0.781563990831801,0.21242931109005053,0.2208302711613298,0.6869486381144129,0.7593821091099906,0.15156130997715156,0.5371697288386702,Gradient boosting,4000,novel,1
0.8265689905725722,0.15873172346422457,0.021337893132048775,0.8989648508413783,0.7826534050225333,0.0679730557256583,0.3558064034675605,Neural network,4000,reference,1
0.7925903918048317,0.2007908324088138,0.20259960085597242,0.7109035655692783,0.7692419941393758,0.1318758815232722,0.5554003991440275,Neural network,4000,novel,1
0.8320924951155486,0.1559588481523244,0.009199648171202848,0.9821358597744424,0.7721859998089375,0.057236842105263155,0.35763810392395196,Logistic regression,8000,reference,1
