model,regime,training_n,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std,calibration_slope_mean,calibration_slope_std,sharpness_mean,sharpness_std,high_confidence_error_mean,high_confidence_error_std,mean_prediction_mean,mean_prediction_std,seed_mean,seed_std
Gradient boosting,reference,4000,0.8257904082883748,0.0059561891622196975,0.15838158713161402,0.0033608097322216372,0.020803860686211283,0.004901325064654888,0.8858302741775794,0.03313849199844661,0.7830500247667727,0.005512054935424097,0.06475522776550137,0.007219302575156268,0.34820336801192375,0.00799139923947179,9.5,5.916079783099616
Gradient boosting,reference,8000,0.8313648670278164,0.005717080017538815,0.1555767111482381,0.0031868447463246847,0.013747175268240944,0.0036087309215863217,0.9563378280585944,0.03391255981695464,0.7777371183327518,0.003436296240753966,0.056058384255096946,0.006473051641309687,0.34813607763988413,0.005910613038126489,9.5,5.916079783099616
Logistic regression,novel,250,0.7706948950605549,0.031707307861045655,0.2162713782801997,0.018119265843628354,0.22435037408905942,0.027998203680970894,0.6892755904570481,0.13145165246960916,0.7568201645612873,0.027364455077342083,0.1549637642423048,0.04054184284674733,0.5392118445785697,0.029623336071568713,9.5,5.916079783099616
Logistic regression,novel,500,0.7731630924564836,0.024042677719189203,0.2144818950766799,0.015290014456253477,0.22306279807915472,0.020226950097466022,0.6976409948940338,0.10689303390137564,0.7555729017992063,0.014381155520970471,0.14989920214694955,0.03744419465889956,0.5396363693853405,0.01980507430787652,9.5,5.916079783099616
Logistic regression,novel,1000,0.773449742097145,0.013988424146837413,0.2146694073422973,0.011165745879343497,0.2209571533952514,0.01686692203738632,0.6696395298920171,0.07257078463122314,0.7610976559166469,0.010035394577146901,0.15250588536130158,0.030834654627199476,0.5416178466047485,0.014224065649786045,9.5,5.916079783099616
Logistic regression,novel,2000,0.7780638131728155,0.011800455358790025,0.2100316292269992,0.009470310150403624,0.21380765858254208,0.015138893882937,0.6727359427458063,0.05916441144365053,0.7644664176702938,0.007702554983644795,0.14384014976015128,0.024804556208823214,0.5487673414174579,0.01263977019255522,9.5,5.916079783099616
Logistic regression,novel,4000,0.7769888083425884,0.009886693791662285,0.21046694141486838,0.006939919198342072,0.2151904419010695,0.012522290740082303,0.6773127906225298,0.04273513356776615,0.7621947862370535,0.0065063837750693205,0.14279155588658346,0.018430920787688102,0.5473845580989305,0.010021579621487023,9.5,5.916079783099616
Logistic regression,novel,8000,0.7761056734386831,0.010878806613389587,0.21107794825481618,0.006493039972349523,0.2165044115978784,0.01102304325293805,0.6794288113930702,0.04380518594917387,0.7608674208312278,0.004306508847816924,0.14474223889224525,0.0160885259013932,0.5461243975833616,0.007992912115664243,9.5,5.916079783099616
Logistic regression,reference,250,0.8310913698684196,0.009157724377757978,0.15747158981787468,0.005704403502894531,0.03505937558402739,0.015995716922946653,0.983251499958285,0.18796934812596242,0.776424127727248,0.024563050522329655,0.05768567734683637,0.018197719235620167,0.34946610513948595,0.027847339567734337,9.5,5.916079783099616
Logistic regression,reference,500,0.835986803586167,0.006502519607870326,0.1542396753936998,0.0037805198386660836,0.024162358021488774,0.010254011032777349,1.0058407396192748,0.09737131403542766,0.7750828920468044,0.014001886370961635,0.053887572587720686,0.010387349963916343,0.3489402352648432,0.0215328717867717,9.5,5.916079783099616
Logistic regression,reference,1000,0.8387829159665602,0.005804228598332962,0.15249355166919548,0.0033244607859907187,0.018736611999669958,0.00614415477309442,0.9822928373836639,0.06502224605677044,0.7804348798555394,0.010403623281797046,0.05319527655723057,0.007833107946715191,0.34648596469565324,0.016007421229603427,9.5,5.916079783099616
Logistic regression,reference,2000,0.8396297745167539,0.005641698061028964,0.15190582383746157,0.0031540260948635887,0.015638407302122688,0.004764317734772817,0.9681379917686833,0.04203830520208079,0.7821145720681473,0.0063621542804151235,0.054099456776901866,0.006557543339454417,0.3484942067152658,0.010350048758372858,9.5,5.916079783099616
Logistic regression,reference,4000,0.8403292696273855,0.005641633284921858,0.15146566174521797,0.0031788685577083097,0.013321082421685265,0.002753936359106224,0.9852424849858726,0.03416248101220691,0.7800952987201647,0.005540252632613531,0.051924636774525045,0.0061568189645766075,0.3490421540494458,0.0077289234647046606,9.5,5.916079783099616
